Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Included / International,Price / International,Compare At Price / International,Included / ireland,Price / ireland,Compare At Price / ireland,Status
copy-of-vegan-dream-organic-allergen-free-salted-choco-toffee-907g,"Vegan Dream, Organic (Allergen Free) - Salted Choco Toffee 907g","",SUPANATURAL,Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes,Vegan Protein,"Allergen free (Vegan Dream), Vegan Dream(All)",true,Title,Default Title,,,,,,907.0,shopify,3,deny,manual,35.99,,true,true,,https://cdn.shopify.com/s/files/1/0679/6754/9751/files/VeganDreamAllergy_SaltedChocoToffee_2.27kg-2022_635a1d79-9b83-41b3-b8bd-1dae659189c8.png?v=1707490266,1,"",false,,,,,,,,,,,,,,,g,,15.00,true,,,true,,,true,,,active
vegan-dream-organic-sustained-release-chunky-nutty-pie-907g,"Vegan Dream, Organic (Sustained Release) - Chunky Nutty Pie 907g",<br>,SUPANATURAL,Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes,Vegan Protein,"Vegan Dream - Standard, Vegan Dream(All)",true,Title,Default Title,,,,,,907.0,shopify,4,deny,manual,35.99,,true,true,,https://cdn.shopify.com/s/files/1/0679/6754/9751/files/VeganDreamSL_ChunkyNuttyPie_2.27kg2023-1424x953_0e028c01-3278-4542-a25c-ea9173700f98.png?v=1707489787,1,"",false,,,,,,,,,,,,,,,g,,15.00,true,,,true,,,true,,,active
vegan-dream-organic-sustained-release-white-chocolate,"Vegan Dream, Organic (Sustained Release) - White Chocolate 2.27kg",<br>,SUPANATURAL,Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes,Vegan Protein,"Vegan Dream - Standard, Vegan Dream(All)",true,Title,Default Title,,,,,"",2270.0,shopify,6,deny,manual,61.99,,true,true,"",https://cdn.shopify.com/s/files/1/0679/6754/9751/products/Vegan_DreamSL_WhiteChocolate_2_27kg2022-1424x935.png?v=1680004212,1,"",false,,,,,,,,,,,,,,,kg,,29.30,true,,,true,,,true,,,active
vegan-dream-organic-sustained-release-strawberry,"Vegan Dream, Organic (Sustained Release) - Strawberry 907g",<br>,SUPANATURAL,Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes,Vegan Protein,"Vegan Dream - Standard, Vegan Dream(All)",true,Title,Default Title,,,,,"",907.0,shopify,6,deny,manual,35.99,,true,true,"",https://cdn.shopify.com/s/files/1/0679/6754/9751/products/VeganDreamSL_Strawberry_0_9kg2022-1424x935.png?v=1680004209,1,"",false,,,,,,,,,,,,,,,g,,14.24,true,,,true,,,true,,,active
vegan-dream-strawberry-2kg,"Vegan Dream, Organic (Sustained Release) - Strawberry 2.27kg","<p> </p>
<br>",SUPANATURAL,Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes,Vegan Protein,"Vegan Dream - Standard, Vegan Dream(All)",true,Title,Default Title,,,,,"",2270.0,shopify,7,deny,manual,61.99,,true,true,"",https://cdn.shopify.com/s/files/1/0679/6754/9751/products/Vegan_DreamSL_Strawberry_2.27kg2022.png?v=1680004206,1,"",false,,,,,,,,,,,,,,,kg,,29.30,true,,,true,,,true,,,active
vegan-dream-organic-sustained-release-salted-caramel,"Vegan Dream, Organic (Sustained Release) - Salted Caramel 2.27kg",<br>,SUPANATURAL,Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes,Vegan Protein,"Vegan Dream - Standard, Vegan Dream(All)",true,Title,Default Title,,,,,"",2270.0,shopify,6,deny,manual,61.99,,true,true,"",https://cdn.shopify.com/s/files/1/0679/6754/9751/products/Vegan_DreamSL_SaltedCaramel_2_27kg2024.png?v=1680004204,1,"",false,,,,,,,,,,,,,,,kg,,29.30,true,,,true,,,true,,,active
vegan-dream-organic-sustained-release-cookies-cream,"Vegan Dream, Organic (Sustained Release) - Cookies & Cream 907g",<br>,SUPANATURAL,Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes,Vegan Protein,"Vegan Dream - Standard, Vegan Dream(All)",true,Title,Default Title,,,,,"",907.0,shopify,0,deny,manual,35.99,,true,true,"",https://cdn.shopify.com/s/files/1/0679/6754/9751/products/VeganDreamSL_Cookies-0Cream_0.9kg2023-1424x935_137136dc-9a0a-455e-92b7-994b9bfb8894.png?v=1680004202,1,"",false,,,,,,,,,,,,,,,g,,14.24,true,,,true,,,true,,,active
vegan-dream-cookies-cream-2kg,"Vegan Dream, Organic (Sustained Release) - Cookies & Cream 2.27kg",<br>,SUPANATURAL,Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes,Vegan Protein,"Vegan Dream - Standard, Vegan Dream(All)",true,Title,Default Title,,,,,"",2270.0,shopify,6,deny,manual,61.99,,true,true,"",https://cdn.shopify.com/s/files/1/0679/6754/9751/files/VeganDreamSL_Cookies-0Cream_0.9kg2023-1424x935_8ef1fa0f-f244-4495-9d18-b47b583daa2c.png?v=1707490756,1,"",false,,,,,,,,,,,,,,,kg,,29.30,true,,,true,,,true,,,active
vegan-dream-chunky-nut-pie-flavour-2kg,"Vegan Dream, Organic (Sustained Release) - Chunky Nutty Pie 2.27kg",<br>,SUPANATURAL,Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes,Vegan Protein,"Vegan Dream - Standard, Vegan Dream(All)",true,Title,Default Title,,,,,"",2270.0,shopify,7,deny,manual,61.99,,true,true,"",https://cdn.shopify.com/s/files/1/0679/6754/9751/products/VeganDreamSL_ChunkyNuttyPie_2.27kg2023-1424x953_931bda80-f40b-439b-ac2a-68af52c46223.png?v=1680004197,1,"",false,,,,,,,,,,,,,,,kg,,22.50,true,,,true,,,true,,,active
vegan-dream-organic-sustained-release-chocolate,"Vegan Dream, Organic (Sustained Release) - Chocolate 907g",<br>,SUPANATURAL,Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes,Vegan Protein,"Vegan Dream - Standard, Vegan Dream(All)",true,Title,Default Title,,,,,"",907.0,shopify,3,deny,manual,35.99,,true,true,"",https://cdn.shopify.com/s/files/1/0679/6754/9751/products/VeganDreamSL_Chocolate_0.9kg2023-1424x935.png?v=1680004195,1,"",false,,,,,,,,,,,,,,,g,,14.24,true,,,true,,,true,,,active
